"molecule","gene","start","end","strand","subgene","from","to","orientation"
"Genome1","protF",20474,22720,"forward","protF-3",21795,22165,-1
"Genome1","protF",20474,22720,"forward","protF-4",22235,22661,-1
"Genome1","protC",22777,22989,"forward","protC-1",22798,22809,1
"Genome1","protC",22777,22989,"forward","protC-2",22837,22898,1
"Genome1","protC",22777,22989,"forward","protC-3",22929,22988,1
"Genome6","genA",65751,67691,"forward","genA-1",66093,66672,-1
"Genome6","genA",65751,67691,"forward","genA-2",66749,67043,-1
"Genome6","genA",65751,67691,"forward","genA-3",67370,67392,-1
"Genome6","genB",67698,68570,"forward","genB-1",67714,67920,1
"Genome6","genB",67698,68570,"forward","genB-2",67952,68300,1
"Genome6","genB",67698,68570,"forward","genB-3",68502,68518,1
"Genome6","genC",68605,69135,"reverse","genC-1",68707,69034,-1
"Genome6","genC",68605,69135,"reverse","genC-2",69060,69080,-1
"Genome6","genC",68605,69135,"reverse","genC-3",69090,69092,-1
"Genome6","genE",69501,70583,"reverse","genE-1",69828,70123,1
"Genome6","genE",69501,70583,"reverse","genE-2",70373,70435,1
"Genome6","genF",70614,71015,"forward","genF-1",70621,70748,1
"Genome6","protA",71008,71349,"forward","protA-1",71011,71077,-1
"Genome6","protA",71008,71349,"forward","protA-2",71150,71344,-1
"Genome6","protB",71375,72034,"forward","protB-1",71381,71814,-1
"Genome7","genB",-9390,-8992,"reverse","genB-1",-9368,-9324,1
"Genome7","genB",-9390,-8992,"reverse","genB-2",-9324,-9302,1
"Genome7","genB",-9390,-8992,"reverse","genB-3",-9241,-9203,1
"Genome7","genB",-9390,-8992,"reverse","genB-4",-9044,-9032,1
"Genome7","genE",-8130,-7048,"reverse","genE-1",-8113,-7968,-1
"Genome7","genE",-8130,-7048,"reverse","genE-2",-7674,-7590,-1
"Genome7","genE",-8130,-7048,"reverse","genE-3",-7207,-7161,-1
"Genome7","genF",-7019,-6663,"forward","genF-1",-7004,-6860,-1
"Genome7","genF",-7019,-6663,"forward","genF-2",-6856,-6782,-1
"Genome7","genF",-7019,-6663,"forward","genF-3",-6734,-6704,-1
"Genome7","protA",-6662,-6321,"reverse","protA-1",-6657,-6627,1
"Genome7","protA",-6662,-6321,"reverse","protA-2",-6609,-6552,1
"Genome7","protA",-6662,-6321,"reverse","protA-3",-6529,-6457,1
"Genome7","protA",-6662,-6321,"reverse","protA-4",-6454,-6444,1
"Genome7","protB",-6306,-5653,"forward","protB-1",-6130,-6087,-1
"Genome7","protB",-6306,-5653,"forward","protB-2",-6051,-6000,-1
"Genome7","protB",-6306,-5653,"forward","protB-3",-5817,-5791,-1
"Genome7","protC",-3446,-3207,"reverse","protC-1",-3400,-3249,1
"Genome7","protD",-3188,-2136,"reverse","protD-1",-3149,-3062,1
"Genome7","protD",-3188,-2136,"reverse","protD-2",-3005,-2928,1
"Genome7","protD",-3188,-2136,"reverse","protD-3",-2813,-2423,1
"Genome7","protE",-2116,-1127,"forward","protE-1",-2059,-1854,1
"Genome7","protE",-2116,-1127,"forward","protE-2",-1799,-1775,1
"Genome7","protE",-2116,-1127,"forward","protE-3",-1738,-1132,1
"Genome8","genB",2,406,"forward","genB-1",14,297,1
"Genome8","genC",413,886,"forward","genC-1",429,433,1
"Genome8","genC",413,886,"forward","genC-2",437,447,1
"Genome8","genC",413,886,"forward","genC-3",634,753,1
"Genome8","genD",898,1275,"forward","genD-1",1037,1096,1
"Genome8","genD",898,1275,"forward","genD-2",1158,1161,1
"Genome8","genD",898,1275,"forward","genD-3",1243,1253,1
"Genome8","genE",1268,2350,"forward","genE-1",1317,1411,-1
"Genome8","genE",1268,2350,"forward","genE-2",1481,1612,-1
"Genome8","genE",1268,2350,"forward","genE-3",1637,1709,-1
"Genome8","genE",1268,2350,"forward","genE-4",1891,2105,-1
"Genome8","genE",1268,2350,"forward","genE-5",2201,2324,-1
"Genome8","genF",2376,2732,"forward","genF-1",2381,2423,-1
"Genome8","genF",2376,2732,"forward","genF-2",2474,2487,-1
"Genome8","genF",2376,2732,"forward","genF-3",2512,2612,-1
"Genome8","genF",2376,2732,"forward","genF-4",2655,2685,-1
"Genome8","protA",2733,3074,"reverse","protA-1",2783,2812,-1
"Genome8","protA",2733,3074,"reverse","protA-2",2862,2899,-1
"Genome8","protA",2733,3074,"reverse","protA-3",2971,3006,-1
"Genome8","protB",3089,3742,"forward","protB-1",3274,3326,-1
"Genome8","protF",3700,5946,"forward","protF-1",3721,4286,-1
"Genome8","protC",5949,6182,"reverse","protC-1",5959,6038,1
"Genome8","protC",5949,6182,"reverse","protC-2",6054,6173,1
"Genome8","protD",6217,7269,"reverse","protD-1",6239,6568,1
"Genome8","protD",6217,7269,"reverse","protD-2",6629,6849,1
"Genome8","protE",7307,8296,"reverse","protE-1",7316,7409,-1
"Genome8","protE",7307,8296,"reverse","protE-2",7556,7764,-1
"Genome8","protE",7307,8296,"reverse","protE-3",7789,8165,-1
